date,Strategy (Net),Buy & Hold SPY
2023-04-12,0.1345691000041278,-0.07285263856299173
2023-04-13,0.14984050175638597,-0.044200816884072625
2023-04-14,0.14089417569735874,-0.04298974029584779
2023-04-17,0.13775765069934587,-0.05043176336651045
2023-04-18,0.14468261538804628,-0.03783160916099004
2023-04-19,0.14157226805860224,-0.038389515446438316
2023-04-20,0.1446422657409554,-0.05882998682615059
2023-04-21,0.14125265824631783,-0.05739999370796356
2023-04-24,0.14955902984542502,-0.042092430089336275
2023-04-25,0.14693281252813373,-0.03070121634292855
2023-04-26,0.15652103229663106,-0.040370376458279233
2023-04-27,0.18600365893065196,0.007924123568035624
2023-04-28,0.20265616640697082,0.013676526639965658
2023-05-01,0.1894716812521675,-0.01229578877522819
2023-05-02,0.18621753041503997,0.014079338315753365
2023-05-03,0.19367765599649278,0.0010927218994845056
2023-05-04,0.1818117957966061,-0.010533779087096184
2023-05-05,0.18901156032683986,-0.021999102276330396
2023-05-08,0.19854749519914838,0.01431294609915379
2023-05-09,0.19318077455222937,0.0159287450593113
2023-05-10,0.21907509047341578,0.05443565551914942
2023-05-11,0.22530124760232262,0.050170539297135
2023-05-12,0.21852295883536055,0.06572460576766903
2023-05-15,0.23728734789304107,0.07051903701917439
2023-05-16,0.23112537699745483,0.03853590972230747
2023-05-17,0.23302431447500882,0.055425103720599056
2023-05-18,0.2330387792188191,0.04411448476703628
2023-05-19,0.2539641333198317,0.08638936356369076
2023-05-22,0.2455003351368239,0.09352778446004817
2023-05-23,0.23686419296661443,0.08078364299809193
2023-05-24,0.21397544543895464,0.05324699749431172
2023-05-25,0.2183089371551219,0.0705403816476029
2023-05-26,0.22533592137704916,0.07490776481714145
2023-05-30,0.21301852732679438,0.05425223199230178
2023-05-31,0.18855102989373385,0.023285113960684223
2023-06-01,0.20904488923480646,0.03883637310758825
2023-06-02,0.21769364433453164,0.06245277304434205
2023-06-05,0.20021386682778197,0.040600140272839313
2023-06-06,0.2183731114098244,0.06026675528687653
2023-06-07,0.21126923879270154,0.053392944340325155
2023-06-08,0.21343982155587815,0.049695639072850906
2023-06-09,0.22087530901071672,0.06313782548305813
2023-06-12,0.24418212416304086,0.09891805919156349
2023-06-13,0.2618867471480313,0.13919473308529362
2023-06-14,0.2954677776544945,0.18556541346096744
2023-06-15,0.3154663678148748,0.20389106290173675
2023-06-16,0.2950374791988699,0.1829260938469448
2023-06-20,0.31560422682726474,0.21706927383691332
2023-06-21,0.3096298163293616,0.20822828154591178
2023-06-22,0.28834946479944934,0.18281414319646383
2023-06-23,0.28276262003163355,0.17600421182827675
2023-06-26,0.2687951401197197,0.1598300146220175
2023-06-27,0.24433910463311048,0.13641470021578384
2023-06-28,0.24933187943286517,0.1413474084745403
2023-06-29,0.2783224065310741,0.16974722795755537
2023-06-30,0.2940660528415442,0.18451540720586945
2023-07-03,0.3062960718286749,0.1955916006137104
2023-07-05,0.28966229994496295,0.18131924577903225
2023-07-06,0.27934932040834126,0.16985958814209945
2023-07-07,0.27375692396584106,0.1629779986787634
2023-07-10,0.25625385531733924,0.1487173855218249
2023-07-11,0.2647244342411341,0.15698470766594408
2023-07-12,0.29283011157151795,0.1797710714498273
2023-07-13,0.3150120033914361,0.19975121054243283
2023-07-14,0.32111171614189127,0.20533393972541858
2023-07-17,0.3294570316114058,0.21246359251993563
2023-07-18,0.31217239656499407,0.1985739038693528
2023-07-19,0.3270037242239372,0.21124055364667083
2023-07-20,0.27796965780627625,0.1715503821796891
2023-07-21,0.26797482640548065,0.16413101673686614
2023-07-24,0.2559313135813299,0.15754401495823056
2023-07-25,0.2734783523817774,0.17157423456336485
2023-07-26,0.272590095801164,0.170332297868385
2023-07-27,0.28057037273900143,0.1764919805828642
2023-07-28,0.2545383686184193,0.15794271565315876
2023-07-31,0.23850026310906558,0.14577677014790558
2023-08-01,0.21370203575804947,0.12608114060776465
2023-08-02,0.20084071878072862,0.11371457105202176
2023-08-03,0.20172526363411936,0.11789812200814187
2023-08-04,0.18843265687937527,0.09568424588294122
2023-08-07,0.1987183426145176,0.10599496160117439
2023-08-08,0.19400617787971086,0.10304970500067734
2023-08-09,0.18648827327167372,0.09694904587605202
2023-08-10,0.18842037880362472,0.10171781802373969
2023-08-11,0.1805473638978703,0.07842415125737423
2023-08-14,0.18653899797910256,0.08437719122470289
2023-08-15,0.16769469613761268,0.05390380159967734
2023-08-16,0.15789960501890743,0.04187654021559983
2023-08-17,0.1490268418429166,0.031916475325763694
2023-08-18,0.1516500210996019,0.03979364667134244
2023-08-21,0.15756026038748927,0.04352594491248274
2023-08-22,0.15921934255242376,0.05487480987259308
2023-08-23,0.17833345456430516,0.08930605134950009
2023-08-24,0.16561422027080708,0.07681409268106654
2023-08-25,0.1709081676324984,0.08094491302627405
2023-08-28,0.1733315400001283,0.07265654312176117
2023-08-29,0.200198257132443,0.1262853667711561
2023-08-30,0.20699346530301233,0.1384518691774268
2023-08-31,0.20692602830637274,0.14940375325470412
2023-09-01,0.2099545644185432,0.16037720329758076
2023-09-05,0.20325907532252963,0.15174800798623345
2023-09-06,0.19657701885389112,0.15619698999296205
2023-09-07,0.19365779559834984,0.15701271170293318
2023-09-08,0.18534765391509,0.13830571149994286
2023-09-11,0.1890672570424785,0.1383512303416743
2023-09-12,0.1734797022168666,0.11478825467202647
2023-09-13,0.1684100678697371,0.10422041419611383
2023-09-14,0.19328343497644718,0.1643710226496975
2023-09-15,0.17934351275271454,0.14596957370135466
2023-09-18,0.1843472041318035,0.159809365841312
2023-09-19,0.184484267533213,0.16630144915979805
2023-09-20,0.1709880718362542,0.14668700994805084
2023-09-21,0.15995868427617554,0.14082909721133197
2023-09-22,0.16965576593015652,0.15847179948645462
2023-09-25,0.18013399388699325,0.17319822025317544
2023-09-26,0.1745217375873307,0.17566035011224201
2023-09-27,0.18172658381269047,0.18788106720089703
2023-09-28,0.1909868933872534,0.19782558648894932
2023-09-29,0.16912651203523565,0.17186062963816684
2023-10-02,0.18837451511493675,0.19638583746352234
2023-10-03,0.187351339679922,0.19891041336270354
2023-10-04,0.1709483484872003,0.1765776683192768
2023-10-05,0.13707893052450215,0.14078502519711233
2023-10-06,0.15318324688647156,0.1570233548829545
2023-10-09,0.17256412771290108,0.17656812142821487
2023-10-10,0.21066474193707285,0.21662839332674544
2023-10-11,0.22469834629354546,0.23101118224547212
2023-10-12,0.2254164772377154,0.23130429107917583
2023-10-13,0.2246517208493588,0.22922580205430543
2023-10-16,0.20404321072682952,0.2102201143173288
2023-10-17,0.23346195978690276,0.23838588517687542
2023-10-18,0.1857488236727043,0.1912719794212181
2023-10-19,0.1607212131937934,0.16709251796752445
