month,Strategy (Net),Buy & Hold SPY
2013-02,0.0017835114508444327,0.0017835114508444327
2013-03,0.03797161811917782,0.03797161811917782
2013-04,0.019212018897943883,0.019212018897943883
2013-05,0.023609829780814273,0.023609829780814273
2013-06,-0.013344909561878615,-0.013344909561878615
2013-07,0.05167742252150487,0.05167742252150487
2013-08,-0.02999224760107644,-0.02999224760107644
2013-09,0.031646865304085114,0.031646865304085114
2013-10,0.04630614761238583,0.04630614761238583
2013-11,0.029637533346484668,0.029637533346484668
2013-12,0.02592678273558313,0.02592678273558313
2014-01,-0.035248313904781226,-0.035248313904781226
2014-02,0.045515709494838186,0.045515709494838186
2014-03,0.008295694426887712,0.008295694426887712
2014-04,0.006951301394209297,0.006951301394209297
2014-05,0.023206075265302273,0.023206075265302273
2014-06,0.02064565542037533,0.02064565542037533
2014-07,-0.013437744372525762,-0.013437744372525762
2014-08,0.03946345202411461,0.03946345202411461
2014-09,-0.013796569456654861,-0.013796569456654861
2014-10,-0.02209266321745451,0.023551038597706908
2014-11,0.029399950697557298,0.02747189618368595
2014-12,0.013260634516649494,-0.0025366071848953453
2015-01,-0.020514979295227054,-0.02962895814011879
2015-02,0.05319593368404285,0.056204513519219956
2015-03,-0.015105816926828552,-0.015705769153272153
2015-04,0.008545678760079722,0.009833814664567564
2015-05,0.011901488537467309,0.012856619708990547
2015-06,-0.02133129536848921,-0.020312339442315475
2015-07,0.023866822996704284,0.022589267292341342
2015-08,-0.10418794579682655,-0.06095018968611865
2015-09,-0.005452164169315488,-0.025515949851685593
2015-10,0.017835277216849743,0.08505952048482457
2015-11,0.0010950175108939142,0.0036554332587288574
2015-12,-0.0333644425507158,-0.0172827120809238
2016-01,0.03152870180716616,-0.04978659129982077
2016-02,0.037862691829818385,-0.000825926451189174
2016-03,0.013468076039176768,0.06726582111998991
2016-04,0.017074973159547424,0.003941230237635818
2016-05,-0.015454454759810443,0.01701167553375993
2016-06,0.0917690524739414,0.0034759002711446385
2016-07,0.04058626637629459,0.03647107478508538
2016-08,0.0001953937206893297,0.0011977010115131748
2016-09,-0.00017832023443109524,5.7870726142272844e-05
2016-10,-0.01807632858375441,-0.017336935099441453
2016-11,0.035145999886918355,0.036838314442776854
2016-12,0.020038946932793733,0.02027176507480566
2017-01,0.01846454125622854,0.017894679323653406
2017-02,0.039752796496377085,0.039291671472604595
2017-03,0.0011344613735995157,0.0012497942848146426
2017-04,0.010228140110556394,0.009926395271002697
2017-05,0.014289851081221716,0.014112916451956448
2017-06,0.006220075783636592,0.006374822496599153
2017-07,0.020679086174721473,0.020554253885971985
2017-08,0.003600964687275443,0.002917663477226329
2017-09,0.019568742875851086,0.020149363736056802
2017-10,0.02346334890309043,0.02356427882896739
2017-11,0.030661088353621135,0.030565742972720855
2017-12,0.012476832859183551,0.012127801978839337
2018-01,0.05627198923708243,0.05635935677157722
2018-02,-0.050318284882513,-0.03636078951647015
2018-03,-0.002483138520622763,-0.027410138279351348
2018-04,-0.01577798566366717,0.005168445638823682
2018-05,-0.004001116357992496,0.02430868564093247
2018-06,-0.014337217961963744,0.0057509383845915085
2018-07,0.02814795876072207,0.03704681094855866
2018-08,0.024958320019542457,0.0319195714206677
2018-09,0.005612301390572227,0.00594572997877818
2018-10,-0.08411828167729396,-0.06910452560739899
2018-11,0.006686134005645883,0.018549456314910673
2018-12,0.014607327566971584,-0.08804850774590722
2019-01,0.027222316332591756,0.08006587929235409
2019-02,-0.0005454891326346356,0.032415302258334
2019-03,0.030519572018568697,0.018100590780762094
2019-04,0.03221418749218197,0.040852578887401236
2019-05,-0.05314143132879212,-0.063771286521075
2019-06,0.046435292953975305,0.06958651904906121
2019-07,0.006985315784499457,0.015119330036083234
2019-08,0.05132420351646383,-0.016743233679221703
2019-09,0.002423363586467664,0.019457761100343474
2019-10,0.02859965403741649,0.022105001888328424
2019-11,0.03158406279738757,0.03619799970210669
2019-12,0.028458137298385866,0.029055544150730084
2020-01,0.0012561782875499805,-0.00040394767801466003
2020-02,-0.07773007840426638,-0.07916568071469698
2020-03,0.0576976386342698,-0.12487138762648031
2020-04,0.13657180326492901,0.12698361216078724
2020-05,0.04031862215685589,0.047645403599505975
2020-06,0.013184580797044543,0.01773442307340778
2020-07,0.062922506816115,0.05889190662941868
2020-08,0.059702838986923856,0.06979701170934005
2020-09,-0.03423913370982479,-0.037443791753063005
2020-10,-0.025274610755233073,-0.024933368862097516
2020-11,0.10649706997903907,0.10877680675408574
2020-12,0.03748599074398218,0.03704829820071853
2021-01,-0.01125673688726736,-0.0101903596609354
2021-02,0.025154365273938106,0.027805538969513544
2021-03,0.043485191894820474,0.04539915772996417
2021-04,0.05326264831223715,0.05291050315439527
2021-05,0.007750040034838701,0.006566172451982766
2021-06,0.021666496886389996,0.022427275141345016
2021-07,0.025241551510528648,0.024412519938273425
2021-08,0.0292649377366605,0.029759867460365852
2021-09,-0.04699098473877383,-0.04660546436075974
2021-10,0.06991954573017534,0.07016351857350855
2021-11,-0.007468186054765957,-0.008034740295858378
2021-12,0.045796932425752335,0.046247569389440635
2022-01,-0.05506635646812896,-0.05274115504178989
2022-02,0.04265566510617336,-0.029517058003522112
2022-03,0.008459418765729199,0.037590438824940176
2022-04,-0.035598543263636095,-0.08776908454799914
2022-05,-0.004046021549777179,0.002257224797731938
2022-06,-0.042125136331113366,-0.08246053612254611
2022-07,0.10231592165318149,0.09208755613554964
2022-08,-0.008253710840440354,-0.040801865526622794
2022-09,-0.045552145402951716,-0.09244596714252518
2022-10,0.08411920103748738,0.08127548765801507
2022-11,0.0408777902086348,0.05559146393982117
2022-12,-0.047411169237941087,-0.0576281690568361
2023-01,0.07086714640806724,0.06288751768938972
2023-02,-0.026491916717583663,-0.025142596502080283
2023-03,0.05921754361915821,0.03707757937344058
2023-04,0.015755435997190093,0.015975065829193502
2023-05,-0.0012416901073635245,0.004616282802715421
2023-06,0.05741261934657116,0.06479957892773558
2023-07,0.030248803140063174,0.03273331217437425
2023-08,-0.016191492629322735,-0.016251932135838976
2023-09,-0.04839561228246869,-0.04743448186401067
2023-10,-0.026992944447740697,-0.021708635534842924
2023-11,0.05921453683838851,0.09134383608718433
2023-12,0.045245806299979874,0.045655250320076446
2024-01,0.01501474439022532,0.015926479365777402
2024-02,0.051372042550501984,0.05218684505940718
2024-03,0.035009963819207846,0.0327019228887242
2024-04,-0.03887970190030521,-0.04031956506061718
2024-05,0.051634443849287726,0.05057983418262069
2024-06,0.03172326190220076,0.03527992185554729
2024-07,0.011213785025830258,0.012109057114268351
2024-08,0.002347160997847153,0.023365776711627095
2024-09,0.023444646302978045,0.021004548991796934
2024-10,-0.009233452945461185,-0.008923558620233751
2024-11,0.05924882705998402,0.05963341288595614
2024-12,-0.025035300975800312,-0.0240600818746749
2025-01,0.027435998863803324,0.026856302712434
2025-02,-0.011987295858137292,-0.012694735727452278
2025-03,-0.018808317338078973,-0.055719195863834114
2025-04,0.04633569003911919,-0.008670229175496647
2025-05,0.015309983446003983,0.06284501787581398
2025-06,0.015464926065549278,0.051386078379676015
2025-07,0.000868682639460383,0.023031507308652444
2025-08,0.043175948648534135,0.020519591257209147
2025-09,0.09808383393688169,0.0356203695218289
2025-10,0.03396991415073569,0.023837458474752493
2025-11,0.041447148149550195,0.0019499283249209132
2025-12,0.017067906703894575,0.000797497311368689
2026-01,0.12563542106332548,0.014737781623703317
2026-02,0.0015006189818329574,-0.008641965290305365
2026-03,-0.03589570457075031,-0.03454862686689353
