date,Strategy (Net),Buy & Hold SPY
2014-02-20,0.24103123823099137,0.24103123823099137
2014-02-21,0.24719708531017814,0.24719708531017814
2014-02-24,0.2419766749145169,0.2419766749145169
2014-02-25,0.2655869338254957,0.2655869338254957
2014-02-26,0.25705033491630025,0.25705033491630025
2014-02-27,0.24792485198150271,0.24792485198150271
2014-02-28,0.2535574868884818,0.2535574868884818
2014-03-03,0.24065043907775197,0.24065043907775197
2014-03-04,0.2514246963747464,0.2514246963747464
2014-03-05,0.2414370476806591,0.2414370476806591
2014-03-06,0.24258863204368186,0.24258863204368186
2014-03-07,0.24086813801350893,0.24086813801350893
2014-03-10,0.23494289113307687,0.23494289113307687
2014-03-11,0.22419220580719612,0.22419220580719612
2014-03-12,0.22727305741356396,0.22727305741356396
2014-03-13,0.21179890924535605,0.21179890924535605
2014-03-14,0.20199587970136879,0.20199587970136879
2014-03-17,0.21447015736814,0.21447015736814
2014-03-18,0.22992618298157574,0.22992618298157574
2014-03-19,0.22622154302074327,0.22622154302074327
2014-03-20,0.22482595400538874,0.22482595400538874
2014-03-21,0.23058817610852977,0.23058817610852977
2014-03-24,0.2157325964779162,0.2157325964779162
2014-03-25,0.22662685280672568,0.22662685280672568
2014-03-26,0.20813619059392963,0.20813619059392963
2014-03-27,0.20558870653677697,0.20558870653677697
2014-03-28,0.20782098119639758,0.20782098119639758
2014-03-31,0.22255608080375033,0.22255608080375033
2014-04-01,0.22462004204093278,0.22462004204093278
2014-04-02,0.24130315062227314,0.24130315062227314
2014-04-03,0.23465029220866884,0.23465029220866884
2014-04-04,0.2255578718128386,0.2255578718128386
2014-04-07,0.2038667355468453,0.2038667355468453
2014-04-08,0.20466627155827188,0.20466627155827188
2014-04-09,0.20288276939414307,0.20288276939414307
2014-04-10,0.17376781724904733,0.17376781724904733
2014-04-11,0.1660519877155946,0.1660519877155946
2014-04-14,0.20311914977990475,0.20311914977990475
2014-04-15,0.193781716820556,0.193781716820556
2014-04-16,0.22417721849865146,0.22417721849865146
2014-04-17,0.2336019315054565,0.2336019315054565
2014-04-21,0.2272345514845815,0.2272345514845815
2014-04-22,0.2273651155478762,0.2273651155478762
2014-04-23,0.21199584011028683,0.21199584011028683
2014-04-24,0.21368318876806947,0.21368318876806947
2014-04-25,0.19887299762663324,0.19887299762663324
2014-04-28,0.2047982286980381,0.2047982286980381
2014-04-29,0.2023523921928061,0.2023523921928061
2014-04-30,0.20306905248605678,0.20306905248605678
2014-05-01,0.21383974938208827,0.21383974938208827
2014-05-02,0.20094578826647314,0.20094578826647314
2014-05-05,0.1911650885605236,0.1911650885605236
2014-05-06,0.17780423500385534,0.17780423500385534
2014-05-07,0.17876569291735045,0.17876569291735045
2014-05-08,0.1721768042615377,0.1721768042615377
2014-05-09,0.1772416562470076,0.1772416562470076
2014-05-12,0.18484735757705884,0.18484735757705884
2014-05-13,0.18496606131596893,0.18496606131596893
2014-05-14,0.16728867031866668,0.16728867031866668
2014-05-15,0.1508406933941695,0.1508406933941695
2014-05-16,0.1602808043085857,0.1602808043085857
2014-05-19,0.15337663465736706,0.15337663465736706
2014-05-20,0.14617327163952631,0.14617327163952631
2014-05-21,0.1541701905704349,0.1541701905704349
2014-05-22,0.16562305994651227,0.16562305994651227
2014-05-23,0.17369096530256356,0.17369096530256356
2014-05-27,0.18190481928434132,0.18190481928434132
2014-05-28,0.17401067508766266,0.17401067508766266
2014-05-29,0.18779754553121664,0.18779754553121664
2014-05-30,0.18533502742895647,0.18533502742895647
2014-06-02,0.2039677950071821,0.2039677950071821
2014-06-03,0.19675429897673613,0.19675429897673613
2014-06-04,0.2049672979066408,0.2049672979066408
2014-06-05,0.23004774875487732,0.23004774875487732
2014-06-06,0.2248422068621394,0.2248422068621394
2014-06-09,0.21069514135073586,0.21069514135073586
2014-06-10,0.21081913728468793,0.21081913728468793
2014-06-11,0.21918702896198572,0.21918702896198572
2014-06-12,0.22065777209058623,0.22065777209058623
2014-06-13,0.20603718882662236,0.20603718882662236
2014-06-16,0.21464981945575268,0.21464981945575268
2014-06-17,0.20869284527389076,0.20869284527389076
2014-06-18,0.2080152012676031,0.2080152012676031
2014-06-19,0.2263125418630607,0.2263125418630607
2014-06-20,0.26002312326370736,0.26002312326370736
2014-06-23,0.2556061484200778,0.2556061484200778
2014-06-24,0.26401493123036346,0.26401493123036346
2014-06-25,0.25763695969876244,0.25763695969876244
2014-06-26,0.2444156788604106,0.2444156788604106
2014-06-27,0.23955907096433826,0.23955907096433826
2014-06-30,0.24402319981988563,0.24402319981988563
2014-07-01,0.24505394953606685,0.24505394953606685
2014-07-02,0.24747810994843955,0.24747810994843955
2014-07-03,0.2530692137653694,0.2530692137653694
2014-07-07,0.23537816890020458,0.23537816890020458
2014-07-08,0.22047330415859046,0.22047330415859046
2014-07-09,0.21718490872505902,0.21718490872505902
2014-07-10,0.2119277993536981,0.2119277993536981
2014-07-11,0.19728688312568865,0.19728688312568865
2014-07-14,0.20281243693964002,0.20281243693964002
2014-07-15,0.1959909201205634,0.1959909201205634
2014-07-16,0.20493200169129278,0.20493200169129278
2014-07-17,0.18818682498419248,0.18818682498419248
2014-07-18,0.1937906545686212,0.1937906545686212
2014-07-21,0.1894431362289013,0.1894431362289013
2014-07-22,0.19230053033804073,0.19230053033804073
2014-07-23,0.1974904597883802,0.1974904597883802
2014-07-24,0.20195736451133306,0.20195736451133306
2014-07-25,0.19342625802691304,0.19342625802691304
2014-07-28,0.19263841206172483,0.19263841206172483
2014-07-29,0.19117604180047154,0.19117604180047154
