Block,Series,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar
FULL_SAMPLE,Strategy_Net,0.18880516208789588,0.133817880569221,1.3596337750981704,1.8311222358586288,-0.18435846696710634,1.0241198312935795
FULL_SAMPLE,BuyHold_SPY,0.13988676461853045,0.16946395763164412,0.8577401819025973,1.0474823573160301,-0.3371728777539158,0.4148814268525661
FULL_SAMPLE,BuyHold_50TLT_50GLD,0.04778008246012333,0.12208845684580616,0.44340788807508535,0.6461877940153261,-0.3268701379053831,0.1461745106674563
FULL_SAMPLE,BuyHold_SPY_1.3x_Net,0.1653155170910079,0.22031084601384038,0.8052008654794717,0.9847885024067692,-0.42191289224697914,0.39182381038557024
FULL_SAMPLE,BuyHold_SPY_2.0x_Net,0.21435342302033544,0.3389626264674987,0.7438897967578906,0.910293959010399,-0.5895775272392496,0.3635712236591935
TRADABLE_SAMPLE,Strategy_Net,0.19281772695276334,0.13682617366798647,1.3573240563240239,1.8330210332700452,-0.18435846696710623,1.0458848466513146
TRADABLE_SAMPLE,BuyHold_SPY,0.1367400689110818,0.17638384957841954,0.8152065194482369,0.9964341065454364,-0.3371728777539156,0.4055488383940569
TRADABLE_SAMPLE,BuyHold_50TLT_50GLD,0.06165928473276283,0.12218320561865595,0.5508584264642228,0.8142803500496151,-0.326870137905384,0.18863541689027208
TRADABLE_SAMPLE,BuyHold_SPY_1.3x_Net,0.15889442338603632,0.22930855770856218,0.7583480401597703,0.928664740432935,-0.42191289224697925,0.37660480707241045
TRADABLE_SAMPLE,BuyHold_SPY_2.0x_Net,0.198877154234939,0.3528082546089459,0.6920020483472105,0.84814903269816,-0.5895775272392496,0.33732146333019064
OOS_SAMPLE_2015_2025,Strategy_Net,0.18642411852179475,0.13629700723063523,1.3225957613366508,1.7888381567937492,-0.18435846696710612,1.0112045385746085
OOS_SAMPLE_2015_2025,BuyHold_SPY,0.1359225332256344,0.17796821479462546,0.805495674779328,0.98011551523769,-0.3371728777539159,0.40312416031528153
OOS_SAMPLE_2015_2025,BuyHold_50TLT_50GLD,0.06210079888498199,0.11908299432064219,0.5655127187843367,0.8561703336296388,-0.32687013790538366,0.1899861494932822
OOS_SAMPLE_2015_2025,BuyHold_SPY_1.3x_Net,0.1577447088981181,0.2313637442701035,0.7493912641847369,0.9136541741664149,-0.42191289224697937,0.3738798026721058
OOS_SAMPLE_2015_2025,BuyHold_SPY_2.0x_Net,0.1966774586068698,0.35596198203139773,0.6839225666984897,0.8344774423947723,-0.5895775272392494,0.3335904940743416
