date,Strategy_Net_Eq,BuyHold_SPY_Eq,BuyHold_SPY_1.3x_Net_Eq,BuyHold_SPY_2.0x_Net_Eq
2013-02-20,0.9875371322521148,0.9875371322521148,0.98373298049351,0.9748566263900986
2013-02-21,0.9815339263352488,0.9815339263352488,0.976023091071379,0.9632165031092432
2013-02-22,0.9911257986263668,0.9911257986263668,0.9883587892997034,0.9818326073018843
2013-02-25,0.9722676218484743,0.9722676218484743,0.9639761191574223,0.9446835350415625
2013-02-26,0.9789235846655256,0.9789235846655256,0.9725550801141499,0.957617789647641
2013-02-27,0.9912562502346196,0.9912562502346196,0.9884197447163062,0.9815378777375028
2013-02-28,0.9892984160356205,0.9892984160356205,0.9858818433690738,0.9776605989325668
2013-03-01,0.992561078103972,0.992561078103972,0.9901086560423058,0.984109161065399
2013-03-04,0.997847236677006,0.997847236677006,0.9970207706825015,0.9947805919771954
2013-03-05,1.0067868509268614,1.0067868509268614,1.0085599504477523,1.0123631065055478
2013-03-06,1.0081568422429745,1.0081568422429745,1.0104022274723798,1.0153128350317515
2013-03-07,1.009984224833721,1.009984224833721,1.0127094469006785,1.0187467855893269
2013-03-08,1.014290562125458,1.014290562125458,1.0183811819884019,1.0276299801566877
2013-03-11,1.0181405682177727,1.0181405682177727,1.0233321243737028,1.0351815088770306
2013-03-12,1.0158567920702382,1.0158567920702382,1.0204070802152139,1.030736463620032
2013-03-13,1.0172926951214962,1.0172926951214962,1.0222077171306365,1.0333998292716058
2013-03-14,1.0227077463686498,1.0227077463686498,1.0292735069774765,1.0443751633116947
2013-03-15,1.0213579588389008,1.0213579588389008,1.02749967581789,1.041591870368576
2013-03-18,1.0157214142301254,1.0157214142301254,1.0201873491901674,1.0302956399471652
2013-03-19,1.0133613750248027,1.0133613750248027,1.0170980357273978,1.0254816685698347
2013-03-20,1.0204401207787337,1.0204401207787337,1.0263265886334259,1.0397824465639018
2013-03-21,1.0117231223230763,1.0117231223230763,1.0149213011472498,1.0219915830617525
2013-03-22,1.0198504695322537,1.0198504695322537,1.0254462531003739,1.0381628744675253
2013-03-25,1.0155901519761237,1.0155901519761237,1.0199365771090256,1.0296887716882508
2013-03-26,1.0237173744705705,1.0237173744705705,1.0304728190220382,1.0459186136906502
2013-03-27,1.0237173744705705,1.0237173744705705,1.030532234209124,1.046119632902291
2013-03-28,1.026863677695232,1.026863677695232,1.0345745201149832,1.0522956983804508
2013-04-01,1.0228000976266913,1.0228000976266913,1.0293118496269333,1.0441695001863796
2013-04-02,1.0278467415595256,1.0278467415595256,1.0358390854862451,1.05421948348703
2013-04-03,1.0174252668801702,1.0174252668801702,1.0222454236170622,1.0330439369067779
2013-04-04,1.0215545092543945,1.0215545092543945,1.0276309599941165,1.0414025530985287
2013-04-05,1.0169667531729614,1.0169667531729614,1.0215563538900851,1.0317952571015239
2013-04-08,1.0238490108687643,1.0238490108687643,1.030535761773766,1.0457338606373554
2013-04-09,1.027388103137586,1.027388103137586,1.0351586552630652,1.0529363686089062
2013-04-10,1.0399723183183869,1.0399723183183869,1.0516338582096336,1.0787035082898038
2013-04-11,1.0433802730479373,1.0433802730479373,1.0561743882799648,1.0859801516064738
2013-04-12,1.0408240575713132,1.0408240575713132,1.0527334280398781,1.0803946245884068
2013-04-15,1.016704415737054,1.016704415737054,1.021010969598453,1.0302934885040307
2013-04-16,1.0317140829993998,1.0317140829993998,1.0405982876406759,1.0606874805639528
2013-04-17,1.0166390028608319,1.0166390028608319,1.0208238740640607,1.029663261026258
2013-04-18,1.0102811706073827,1.0102811706073827,1.0125834068350228,1.016982181376843
2013-04-19,1.0190641431555503,1.0190641431555503,1.0239533417717965,1.0344170724163617
2013-04-22,1.0235861745739347,1.0235861745739347,1.029852263321856,1.0435707091274362
2013-04-23,1.034138786792561,1.034138786792561,1.0436466700321878,1.0650610752533431
2013-04-24,1.0347942874168206,1.0347942874168206,1.0444985796902158,1.066383805576434
2013-04-25,1.0389892544540937,1.0389892544540937,1.0500632788565762,1.0752343913592888
2013-04-26,1.0371537654058554,1.0371537654058554,1.0476435850739387,1.0714076169829394
2013-04-29,1.0441013736205154,1.0441013736205154,1.0567587179342932,1.0857341121857542
2013-04-30,1.0465918020767253,1.0465918020767253,1.0600273456113711,1.0908855718869461
2013-05-01,1.0374159781270322,1.0374159781270322,1.04793743974954,1.0717291091743837
2013-05-02,1.0470513758591449,1.0470513758591449,1.0605144641703417,1.0913781055476717
2013-05-03,1.0576689644524362,1.0576689644524362,1.074556334011762,1.1137233256106238
2013-05-06,1.0603561927536007,1.0603561927536007,1.078097705121202,1.1193556585968654
2013-05-07,1.0657305246411994,1.0657305246411994,1.085193405428602,1.130675295154022
2013-05-08,1.070581179374828,1.070581179374828,1.0915356826483789,1.1406943471440387
2013-05-09,1.067566076046803,1.067566076046803,1.0875314026257519,1.1342416056665954
2013-05-10,1.0710400048688637,1.0710400048688637,1.0921950625770964,1.1418427408951457
2013-05-13,1.0718911829055022,1.0718911829055022,1.0932442077066569,1.143381485472888
2013-05-14,1.0829685947106742,1.0829685947106742,1.107995141420751,1.167235047947006
2013-05-15,1.0888020015217696,1.0888020015217696,1.115745771156114,1.1797814090222773
2013-05-16,1.0836894458537907,1.0836894458537907,1.1089268747743557,1.1686733375192817
2013-05-17,1.094176458124099,1.094176458124099,1.1227970282840383,1.1910095265713456
2013-05-20,1.09411073346105,1.09411073346105,1.122774490730595,1.1910967668391388
2013-05-21,1.0956837603586502,1.0956837603586502,1.124791538322048,1.1942336383528338
